item_code,item_name,brand,category
WSI-MT-2436-1,Schwabe India Swertia Chirata Q 30ml,Schwabe India,Mother Tincture 20 ml/30 ml
WSI-MT-2433,Schwabe India Stigmata May Q 30ml,Schwabe India,Mother Tincture 20 ml/30 ml
WSI-MT-1880,Schwabe India Urtica Urens Q 30ml,Schwabe India,Mother Tincture 20 ml/30 ml
WSI-MT-1875-1,Schwabe India Squilla / Scilla Q 30ml,Schwabe India,Mother Tincture 20 ml/30 ml
WSI-MT-1867-2,Schwabe India Ratanhia Q 30ml,Schwabe India,Mother Tincture 20 ml/30 ml
WSI-MT-1858,Schwabe India Melilotus Off Q 30ml,Schwabe India,Mother Tincture 20 ml/30 ml
WSI-MT-1828-1,Schwabe India Carica Papaya Q 30ml,Schwabe India,Mother Tincture 20 ml/30 ml
WSI-MT-1827-2,Schwabe India Crataegus Oxy Q 30ml,Schwabe India,Mother Tincture 20 ml/30 ml
WSI-MT-1811-1,Schwabe India Bryonia Alba Q 30ml,Schwabe India,Mother Tincture 20 ml/30 ml
WSI-MT-1803-1,Schwabe India Allium Sat Q 30ml,Schwabe India,Mother Tincture 20 ml/30 ml
WSI-MT-1208-1,Schwabe India Fucus Ves Q 30ml,Schwabe India,Mother Tincture 20 ml/30 ml
WSI-MT-1178,Schwabe India Negundium /Acer Negundo Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1174,Schwabe India Luffa Oper Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1169-2,Schwabe India Allium Sat Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1156-1,Schwabe India Verbascum Thap Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1155,Schwabe India Veratrum Album Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1153,Schwabe India Urtica Urens Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1146-1,Schwabe India Syzygium Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1138,Schwabe India Senega Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1137,Schwabe India Secale Cor Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1134,Schwabe India Salix Nigra Q 100 ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1127-2,Schwabe India Rauwolfia Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1118,Schwabe India Phytolacca Berry Q 100 ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1107,Schwabe India Melilotus Alba Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1105,Schwabe India Lycopodium Clava Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1101,Schwabe India Lappa Major Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1100,Schwabe India Lappa Major Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1097-1,Schwabe India Janosia Ashoka Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1094-1,Schwabe India Hypericum Perf Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1076,Schwabe India Ficus Indica Q 100 ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1073-1,Schwabe India Eucalyptus Glob Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1070,Schwabe India Ephedra Vulg Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1067-1,Schwabe India Drosera Rot Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1064,Schwabe India Damiana Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1063,Schwabe India Cynodon Dac Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1061,Schwabe India Croton Tig Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1050,Schwabe India Cinnamomum Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1021,Schwabe India Atista Indica Q 100 ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1018-3,Schwabe India Aralia Race Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1009,Schwabe India Agnus Cast Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-1003,Schwabe India Absinthium Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-LM-1057,Schwabe India Sulphur 0/3 8gm,Schwabe India,Dilution LM
WSI-LM-1005,Schwabe India Arsenicum Album 0/3 8gm,Schwabe India,Dilution LM
WSI-DRO-1005,Schwabe India Willfort Anaemia Drops 30ml,Schwabe India,General
WSI-DRO-1004-1,Schwabe India Good Morning Drops 30ml,Schwabe India,Stomach Care
WSI-DIL-6300,Schwabe India Senega 6 100ml,Schwabe India,Dilution 6 100ml
WSI-DIL-6224,Schwabe India Teucrium MV 10M 10ml,Schwabe India,Dilution 10M 10/11ml
WSI-DIL-6212,Schwabe India Tarentula Hispana 10M 10ml,Schwabe India,Dilution 10M 10/11ml
WSI-DIL-6211,Schwabe India Coffea Cruda 1M 30ml,Schwabe India,Dilution 1M 20/30ml
WSI-DIL-6132,Schwabe India Ipecacuanha 30 10ml,Schwabe India,Dilution 30 10/11ml
WSI-DIL-6101,Schwabe India Arnica Montana 200 10ml,Schwabe India,Dilution 200 10/11ml
WSI-DIL-6037,Schwabe India Viburnum Opulus 6 30ml,Schwabe India,Dilution 6 20/30ml
WSI-DIL-6036,Schwabe India Veronica Officinalis 6 30ml,Schwabe India,Dilution 6 20/30ml
WSI-DIL-6027,Schwabe India Histaminum Hydrochloricum 200 100ml,Schwabe India,Dilution 200 100ml
WSI-DIL-6002,Schwabe India Acidum Sulph 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-5972,Schwabe India Acidum Benz 200 100ml,Schwabe India,Dilution 200 100ml
WSI-DIL-5954,Schwabe India Thyroidinum 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-5906-1,Schwabe India Oophorinum 6 30ml,Schwabe India,Dilution 6 20/30ml
WSI-DIL-5891,Schwabe India Kali Chloricum 6 100ml,Schwabe India,Dilution 6 100ml
WSI-DIL-5712,Schwabe India Ceanothus Americanus 30 100ml,Schwabe India,Dilution 30 100ml
WSI-DIL-5605,Schwabe India Cholesterinum 200 100ml,Schwabe India,Dilution 200 100ml
WSI-DIL-5584,Schwabe India Asterias Rub 200 100ml,Schwabe India,Dilution 200 100ml
WSI-DIL-5563,Schwabe India Acidum Sarcolacticum 200 100ml,Schwabe India,Dilution 200 100ml
WSI-DIL-5428,Schwabe India Acidum Sarcolacticum 1M 100ml,Schwabe India,Dilution 1M 100ml
WSI-DIL-5411,Schwabe India Zincum Iod 30 30ml,Schwabe India,Dilution 30 20/30ml
WSI-DIL-5383,Schwabe India Alumina 0/1 8gm,Schwabe India,Dilution LM
WSI-DIL-5359,Schwabe India Pulsatilla/Puls. Nig. 0/1 8gm,Schwabe India,Dilution LM
WSI-DIL-5310,Schwabe India Ignatia Amara 0/3 8gm,Schwabe India,Dilution LM
WSI-DIL-5243,Schwabe India Acidum Nitricum 0/1 8gm,Schwabe India,Dilution LM
WSI-DIL-5181,Schwabe India Lachesis 0/6 8gm,Schwabe India,Dilution LM
WSI-DIL-5087,Schwabe India Arum Triph 1M 30ml,Schwabe India,Dilution 1M 20/30ml
WSI-DIL-5068,Schwabe India ACTH / Adrenocorticotrophin 1M 30ml,Schwabe India,Dilution 1M 20/30ml
WSI-DIL-5053-1,Schwabe India Thyroidinum 30 30ml,Schwabe India,Dilution 30 20/30ml
WSI-DIL-5022,Schwabe India Olibanum Boswellia Serrata 30 30ml,Schwabe India,Dilution 30 20/30ml
WSI-DIL-5017,Schwabe India Momordica Balsamina 30 30ml,Schwabe India,Dilution 30 20/30ml
WSI-DIL-4997,Schwabe India Lac Felinum 30 30ml,Schwabe India,Dilution 30 20/30ml
WSI-DIL-4946,Schwabe India Citrus Vulgaris 30 30ml,Schwabe India,Dilution 30 20/30ml
WSI-DIL-4927,Schwabe India Carya Alba 30 30ml,Schwabe India,Dilution 30 20/30ml
WSI-DIL-4868,Schwabe India Uva Ursi 6 30ml,Schwabe India,Dilution 6 20/30ml
WSI-DIL-4837,Schwabe India Apomorphinum Mur 6 30ml,Schwabe India,Dilution 6 20/30ml
WSI-DIL-4785,Schwabe India Tussilago Petasites/Frag. 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4783,Schwabe India Staphylococcinum Cm 10ml,Schwabe India,Dilution CM 10/11ml
WSI-DIL-4781,Schwabe India Selenium Cm 10ml,Schwabe India,Dilution CM 10/11ml
WSI-DIL-4780,Schwabe India Scopolaminum Hydrobromidum 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4779,Schwabe India Rubia Tin 30 30ml,Schwabe India,Dilution 30 20/30ml
WSI-DIL-4775,Schwabe India Mercurius Iodatus Ruber 10M 10ml,Schwabe India,Dilution 10M 10/11ml
WSI-DIL-4773,Schwabe India Liatris Spicata 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4771,Schwabe India Leonurus Cardiaca 30 30ml,Schwabe India,Dilution 30 20/30ml
WSI-DIL-4762,Schwabe India Glechoma Hederacea 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4760,Schwabe India Coleus Aromaticus 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4759,Schwabe India Clerodendron 30 30ml,Schwabe India,Dilution 30 20/30ml
WSI-DIL-4755,Schwabe India Balsum Peru 30 30ml,Schwabe India,Dilution 30 20/30ml
WSI-DIL-4754,Schwabe India Atista Radix 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4751,Schwabe India Anthracinum 50M 10ml,Schwabe India,Dilution 50M 10/11ml
WSI-DIL-4748,Schwabe India Anthemis Nobilis 1M 30ml,Schwabe India,Dilution 1M 20/30ml
WSI-DIL-4747,Schwabe India Amoora Rohituka 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4743,Schwabe India Abroma Radix 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4742,Schwabe India Veratrum Album CM 10ml,Schwabe India,Dilution CM 10/11ml
WSI-DIL-4741,Schwabe India Uranium Nitricum CM 10ml,Schwabe India,Dilution CM 10/11ml
WSI-DIL-4740,Schwabe India Tabacum CM 10ml,Schwabe India,Dilution CM 10/11ml
WSI-DIL-4737,Schwabe India Sarsaparilla CM 10ml,Schwabe India,Dilution CM 10/11ml
WSI-DIL-4732,Schwabe India Millefolium CM 10ml,Schwabe India,Dilution CM 10/11ml
WSI-DIL-4730,Schwabe India Mercurius Corrosivus CM 10ml,Schwabe India,Dilution CM 10/11ml
WSI-DIL-4729,Schwabe India Mercurius Iodatus Ruber CM 10ml,Schwabe India,Dilution CM 10/11ml
WSI-DIL-4728,Schwabe India Mercurius Iodatus Flavus CM 10ml,Schwabe India,Dilution CM 10/11ml
WSI-DIL-4725,Schwabe India Lac Caninum CM 10ml,Schwabe India,Dilution CM 10/11ml
WSI-DIL-4722,Schwabe India Cimicifuga /Actaea Race CM 10ml,Schwabe India,Dilution CM 10/11ml
WSI-DIL-4720,Schwabe India Caulophyllum Thalictroides CM 10ml,Schwabe India,Dilution CM 10/11ml
WSI-DIL-4715,Schwabe India Caesalpinia Bonducella CM 10ml,Schwabe India,Dilution CM 10/11ml
WSI-DIL-4713,Schwabe India Borax CM 10ml,Schwabe India,Dilution CM 10/11ml
WSI-DIL-4711,Schwabe India Aralia Race CM 10ml,Schwabe India,Dilution CM 10/11ml
WSI-DIL-4710,Schwabe India Argentum Met CM 10ml,Schwabe India,Dilution CM 10/11ml
WSI-DIL-4705,Schwabe India Agaricus Mus CM 10ml,Schwabe India,Dilution CM 10/11ml
WSI-DIL-4704,Schwabe India Agnus Castus CM 10ml,Schwabe India,Dilution CM 10/11ml
WSI-DIL-4702,Schwabe India Acidum Sulphuricum CM 10ml,Schwabe India,Dilution CM 10/11ml
WSI-DIL-4701,Schwabe India Aconite Nap CM 10ml,Schwabe India,Dilution CM 10/11ml
WSI-DIL-4695,Schwabe India Cimicifuga /Actaea Race 50M 10ml,Schwabe India,Dilution 50M 10/11ml
WSI-DIL-4694,Schwabe India Bufo Rana 50M 10ml,Schwabe India,Dilution 50M 10/11ml
WSI-DIL-4691,Schwabe India Argentum Nit 50M 10ml,Schwabe India,Dilution 50M 10/11ml
WSI-DIL-4690,Schwabe India Argentum Met 50M 10ml,Schwabe India,Dilution 50M 10/11ml
WSI-DIL-4688,Schwabe India Antipyrinum 50M 10ml,Schwabe India,Dilution 50M 10/11ml
WSI-DIL-4686,Schwabe India Alumen 50M 10ml,Schwabe India,Dilution 50M 10/11ml
WSI-DIL-4685,Schwabe India Agnus Castus 50M 10ml,Schwabe India,Dilution 50M 10/11ml
WSI-DIL-4684,Schwabe India Aesculus Hipp 50M 10ml,Schwabe India,Dilution 50M 10/11ml
WSI-DIL-4683,Schwabe India Acidum Sulphuricum 50M 10ml,Schwabe India,Dilution 50M 10/11ml
WSI-DIL-4678,Schwabe India Sambucus Nigra 10M 10ml,Schwabe India,Dilution 10M 10/11ml
WSI-DIL-4677,Schwabe India Sarsaparilla 10M 10ml,Schwabe India,Dilution 10M 10/11ml
WSI-DIL-4675-1,Schwabe India Pulsatilla Nig 10M 10ml,Schwabe India,Dilution 10M 10/11ml
WSI-DIL-4672,Schwabe India Natrum Fluoricum 10M 10ml,Schwabe India,Dilution 10M 10/11ml
WSI-DIL-4670,Schwabe India Mercurius Iodatus Flavus 10M 10ml,Schwabe India,Dilution 10M 10/11ml
WSI-DIL-4665,Schwabe India Latrodectus Mactans 10M 10ml,Schwabe India,Dilution 10M 10/11ml
WSI-DIL-4655,Schwabe India Arum Triph 10M 10ml,Schwabe India,Dilution 10M 10/11ml
WSI-DIL-4654,Schwabe India Aralia Race 10M 10ml,Schwabe India,Dilution 10M 10/11ml
WSI-DIL-4643,Schwabe India Acidum Form 10M 10ml,Schwabe India,Dilution 10M 10/11ml
WSI-DIL-4638,Schwabe India Zincum Sali 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4636,Schwabe India Zincum Oxy 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4633,Schwabe India Zincum Carb 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4632,Schwabe India Zincum Brom 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4627,Schwabe India Teucrium Scoro 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4625,Schwabe India Strychninum Sulph 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4624,Schwabe India Stannum Sulph 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4620,Schwabe India Spongia Pulvis 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4619,Schwabe India Sinapis Alba 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4618,Schwabe India Salix Purpurea 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4616,Schwabe India Rhus Radicans 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4615,Schwabe India Ranunculus Repens 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4614,Schwabe India Ranunculus Ficaria 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4613,Schwabe India Plumbum Chrom 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4612,Schwabe India Plumbum Carb 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4611,Schwabe India Plumbum Acet 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4609,Schwabe India Pimpinella Saxifraga 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4608,Schwabe India Oleum Ricini 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4605,Schwabe India Ocimum Gratissimum 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4603,Schwabe India Natrum Oxalicum 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4602,Schwabe India Natrum Lacticum 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4600,Schwabe India Natrum Causticum 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4599,Schwabe India Natrum Bromatum 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4598,Schwabe India Natrum Bicarbonicum 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4597,Schwabe India Natrum Benzoicum 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4596,Schwabe India Natrum Bichromicum 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4595,Schwabe India Natrum Aceticum 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4593,Schwabe India Mimosa Humilis 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4592,Schwabe India Mentha Viridis 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4591,Schwabe India Mercurius Praecipitatus Ruber 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4590,Schwabe India Mercurius Precipitatus Albus 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4589,Schwabe India Mercurius Auratus 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4587,Schwabe India Manganum Oxydatum Nigrum 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4586,Schwabe India Lycopus Europaeus 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4585,Schwabe India Luffa Bindal 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4584,Schwabe India Luffa Amara 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4583,Schwabe India Lobelia Syphilitica 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4581,Schwabe India Lithium Citricum 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4577,Schwabe India Geranium Robertianum 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4576,Schwabe India Ferrum Tartaricum 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4571,Schwabe India Cuprum Nit 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4570,Schwabe India Cobaltum Muriaticum 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4566,Schwabe India Calcarea Lactica 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4565,Schwabe India Cassia Fistula 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4564,Schwabe India Cadmium Bromatum 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4563,Schwabe India Beryllium Carbonicum 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4556,"Schwabe India Vitis Vinifera, Flos 200 30ml",Schwabe India,Dilution 200 20/30ml
WSI-DIL-4555,Schwabe India Vincetoxicum Hiru 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4553,Schwabe India Verbena Hastata 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4552,Schwabe India Vaccinotoxinum 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4551,Schwabe India Vaccinium Myr 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4550,Schwabe India Upas Tietute 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4549,Schwabe India Tylophora Indica 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4546,Schwabe India Tropaeolum Majus 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4545,Schwabe India Tradescantia Diuretica 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4544,Schwabe India Trichosanthes Dioica 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4543,Schwabe India Potent. Ere. (Tormentilla) 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4542,Schwabe India Tinospora Cor 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4540,Schwabe India Thymus Vulgaris 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4538,Schwabe India Terminalia Arjuna 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4535,Schwabe India Tamus Comm 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4533,Schwabe India Swertia Chirata 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4532,Schwabe India Succinum 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4531,Schwabe India Stillingia Sylvatica 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4530,Schwabe India Sterculia Accu 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4529,Schwabe India Filipendula/Spiraea Ulmaria 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4527,Schwabe India Solanum Xanth 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4525,Schwabe India Solanum Nig 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4523,Schwabe India Spilanthes Oleracea 200 30ml,Schwabe India,Dilution 200 20/30ml
WSI-DIL-4520,Schwabe India Silphium Laciniatum 200 30ml,Schwabe India,Dilution 200 20/30ml
